year,STATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
2007,KARNATAKA,7,15,20,3,1.0,0.0,32.0,16.0,20.0,13.0,19.0,19.0,165
2007,KERALA,1,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4
2007,MADHYA PRADESH,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5
2007,MAHARASHTRA,0,1,1,1,0.0,0.0,4.0,2.0,1.0,8.0,6.0,2.0,26
2007,MEGHALAYA,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
2007,ODISHA,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2007,PUDUCHERRY,0,1,0,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,6
2007,PUNJAB,0,0,1,0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,7.0,11
2007,RAJASTHAN,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2007,TAMIL NADU,10,14,9,15,14.0,9.0,13.0,8.0,9.0,12.0,9.0,9.0,131
2007,UTTAR PRADESH,0,1,13,1,3.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,26
2007,WEST BENGAL,2,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2008,ANDHRA PRADESH,2,1,3,1,1.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,15
2008,ASSAM,0,0,0,0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,5
2008,CHHATTISGARH,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
2008,DELHI,0,0,0,2,0.0,0.0,18.0,12.0,8.0,6.0,15.0,5.0,66
2008,GOA,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2008,GUJARAT,0,1,4,0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,10
2008,HIMACHAL PRADESH,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3
2008,JAMMU AND KASHMIR,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
2008,KARNATAKA,20,59,9,14,18.0,37.0,55.0,34.0,29.0,17.0,15.0,30.0,337
2008,KERALA,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2
2008,MADHYA PRADESH,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2008,MAHARASHTRA,3,5,2,2,2.0,0.0,1.0,2.0,2.0,3.0,1.0,5.0,28
2008,MEGHALAYA,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2
