YEAR,STATE,Fuel_Type,Registrations
2002,GOA,METHANOL,0
2002,GUJARAT,METHANOL,0
2002,HARYANA,METHANOL,0
2002,HIMACHAL PRADESH,METHANOL,0
2002,JAMMU AND KASHMIR,METHANOL,0
2002,JHARKHAND,METHANOL,0
2002,KARNATAKA,METHANOL,0
2002,KERALA,METHANOL,0
2002,LADAKH,METHANOL,0
2002,LAKSHADWEEP,METHANOL,0
2002,MADHYA PRADESH,METHANOL,0
2002,MAHARASHTRA,METHANOL,0
2002,MANIPUR,METHANOL,0
2002,MEGHALAYA,METHANOL,0
2002,MIZORAM,METHANOL,0
2002,NAGALAND,METHANOL,0
2002,ODISHA,METHANOL,0
2002,PUDUCHERRY,METHANOL,0
2002,PUNJAB,METHANOL,0
2002,RAJASTHAN,METHANOL,0
2002,SIKKIM,METHANOL,0
2002,TAMIL NADU,METHANOL,0
2002,TRIPURA,METHANOL,0
2002,UT OF DNH AND DD,METHANOL,0
2002,UTTARAKHAND,METHANOL,0
2002,UTTAR PRADESH,METHANOL,0
2002,WEST BENGAL,METHANOL,0
2002,ANDAMAN & NICOBAR ISLAND,NOT APPLICABLE,1
2002,ANDHRA PRADESH,NOT APPLICABLE,"5,124"
2002,ARUNACHAL PRADESH,NOT APPLICABLE,16
2002,ASSAM,NOT APPLICABLE,6
2002,BIHAR,NOT APPLICABLE,0
2002,CHANDIGARH,NOT APPLICABLE,0
2002,CHHATTISGARH,NOT APPLICABLE,19
2002,DELHI,NOT APPLICABLE,53
2002,GOA,NOT APPLICABLE,3
2002,GUJARAT,NOT APPLICABLE,211
2002,HARYANA,NOT APPLICABLE,852
2002,HIMACHAL PRADESH,NOT APPLICABLE,3
2002,JAMMU AND KASHMIR,NOT APPLICABLE,1
2002,JHARKHAND,NOT APPLICABLE,260
2002,KARNATAKA,NOT APPLICABLE,"5,995"
2002,KERALA,NOT APPLICABLE,74
2002,LADAKH,NOT APPLICABLE,0
2002,LAKSHADWEEP,NOT APPLICABLE,0
2002,MADHYA PRADESH,NOT APPLICABLE,"6,168"
2002,MAHARASHTRA,NOT APPLICABLE,816
2002,MANIPUR,NOT APPLICABLE,7
2002,MEGHALAYA,NOT APPLICABLE,17
2002,MIZORAM,NOT APPLICABLE,0
2002,NAGALAND,NOT APPLICABLE,0
2002,ODISHA,NOT APPLICABLE,33
2002,PUDUCHERRY,NOT APPLICABLE,3
2002,PUNJAB,NOT APPLICABLE,40
2002,RAJASTHAN,NOT APPLICABLE,23
2002,SIKKIM,NOT APPLICABLE,0
2002,TAMIL NADU,NOT APPLICABLE,349
2002,TRIPURA,NOT APPLICABLE,3
2002,UT OF DNH AND DD,NOT APPLICABLE,4
2002,UTTARAKHAND,NOT APPLICABLE,1
2002,UTTAR PRADESH,NOT APPLICABLE,11
2002,WEST BENGAL,NOT APPLICABLE,76
2002,ANDAMAN & NICOBAR ISLAND,PETROL,199
2002,ANDHRA PRADESH,PETROL,"5,209"
2002,ARUNACHAL PRADESH,PETROL,678
2002,ASSAM,PETROL,"8,094"
2002,BIHAR,PETROL,678
2002,CHANDIGARH,PETROL,"4,031"
2002,CHHATTISGARH,PETROL,"3,069"
2002,DELHI,PETROL,"63,108"
2002,GOA,PETROL,"4,111"
2002,GUJARAT,PETROL,"11,027"
2002,HARYANA,PETROL,"16,197"
2002,HIMACHAL PRADESH,PETROL,"9,192"
