year,month,Fuel_Type,value,fuel_category
2004,2,ELECTRIC(BOV),4.0,Electric (EV)
2004,2,ETHANOL,1.0,Alternative Fuels
2004,2,LPG ONLY,48.0,CNG/LPG
2004,2,NOT APPLICABLE,2370.0,Unknown/Other
2004,2,PETROL,38986.0,Petrol
2004,2,PETROL/CNG,3857.0,Petrol
2004,2,PETROL/HYBRID,0.0,Petrol
2004,2,PETROL/LPG,3595.0,Petrol
2004,2,SOLAR,1.0,Alternative Fuels
2004,3,CNG ONLY,32.0,CNG/LPG
2004,3,DIESEL,34465.0,Diesel
2004,3,DIESEL/HYBRID,3.0,Diesel
2004,3,ELECTRIC(BOV),18.0,Electric (EV)
2004,3,ETHANOL,0.0,Alternative Fuels
2004,3,LPG ONLY,45.0,CNG/LPG
2004,3,NOT APPLICABLE,2993.0,Unknown/Other
2004,3,PETROL,48726.0,Petrol
2004,3,PETROL/CNG,4562.0,Petrol
2004,3,PETROL/HYBRID,0.0,Petrol
2004,3,PETROL/LPG,4193.0,Petrol
2004,3,SOLAR,0.0,Alternative Fuels
2004,4,CNG ONLY,68.0,CNG/LPG
2004,4,DIESEL,30371.0,Diesel
2004,4,DIESEL/HYBRID,2.0,Diesel
2004,4,ELECTRIC(BOV),30.0,Electric (EV)
2004,4,ETHANOL,0.0,Alternative Fuels
2004,4,LPG ONLY,63.0,CNG/LPG
2004,4,NOT APPLICABLE,2276.0,Unknown/Other
2004,4,PETROL,47421.0,Petrol
2004,4,PETROL/CNG,4262.0,Petrol
2004,4,PETROL/HYBRID,1.0,Petrol
2004,4,PETROL/LPG,4143.0,Petrol
2004,4,SOLAR,0.0,Alternative Fuels
2004,5,CNG ONLY,61.0,CNG/LPG
2004,5,DIESEL,28749.0,Diesel
2004,5,DIESEL/HYBRID,1.0,Diesel
2004,5,ELECTRIC(BOV),18.0,Electric (EV)
2004,5,ETHANOL,0.0,Alternative Fuels
2004,5,LPG ONLY,47.0,CNG/LPG
2004,5,NOT APPLICABLE,2119.0,Unknown/Other
2004,5,PETROL,40271.0,Petrol
2004,5,PETROL/CNG,3603.0,Petrol
2004,5,PETROL/HYBRID,0.0,Petrol
2004,5,PETROL/LPG,3531.0,Petrol
2004,5,SOLAR,1.0,Alternative Fuels
2004,6,CNG ONLY,48.0,CNG/LPG
